,precision,recall,f1-score,support
DS,0.8297872340425532,0.8863636363636364,0.8571428571428571,44.0
DR,0.8780487804878049,0.8181818181818182,0.8470588235294118,44.0
accuracy,0.8522727272727273,0.8522727272727273,0.8522727272727273,0.8522727272727273
macro avg,0.8539180072651791,0.8522727272727273,0.8521008403361344,88.0
weighted avg,0.853918007265179,0.8522727272727273,0.8521008403361345,88.0
